café,kawa
gafas,okulary
radio,radio
fotografía,fotografia
nombre (de pila),imię
apellido,nazwisko
autobús,autobus
teléfono,telefon
cine,kino
ordenador,komputer
optimista (hombre),optymista
optimista (mujer),optymistka
silla,krzesło
ventana,okno
periódico,gazeta
mujer,kobieta
hombre,mężczyzna
chico,chłopak
chica,dziewczyna
mesa,stół
sol,słońce
libro,książka
profesor de lengua,lektor
profesora de lengua,lektorka
estudiante (hombre),student
estudiante (mujer),studentka
casa,dom
bolígrafo,długopis
taza / taza grande,kubek
coche,samochód
puertas (pluralia tantum),drzwi
niño / niña (bebé),dziecko
dentista (hombre),dentysta
dentista (mujer),dentystka
jeans / vaqueros (pl.),dżinsy
