Español,Polaco
americano (m),Amerykanin
americana (f),Amerykanka
español (m),Hiszpan
española (f),Hiszpanka
polaco (m),Polak
polaca (f),Polka
"alemán (nacionalidad, m)",Niemiec
alemana (f),Niemka
"francés (nacionalidad, m)",Francuz
francesa (f),Francuzka
"inglés (nacionalidad, m)",Anglik
inglesa (f),Angielka
ruso (m),Rosjanin
rusa (f),Rosjanka
italiano (m),Włoch
italiana (f),Włoszka
japonés (m),Japończyk
japonesa (f),Japonka
inglés (idioma),angielski
español (idioma),hiszpański
polaco (idioma),polski
alemán (idioma),niemiecki
francés (idioma),francuski
ruso (idioma),rosyjski
italiano (idioma),włoski
japonés (idioma),japoński
profesor (m),nauczyciel
profesora (f),nauczycielka
estudiante (m),student
estudiante (f),studentka
médico (m),lekarz
médica (f),lekarka
periodista (m),dziennikarz
periodista (f),dziennikarka
conductor/chofer,kierowca
funcionario (m),urzędnik
funcionaria (f),urzędniczka
agricultor (m),rolnik
agricultora (f),rolniczka
empresario (m),biznesmen
empresaria (f),bizneswoman
informático (m),informatyk
informática (f),informatyczka
arquitecto (m),architekt
arquitecta (f),architektka
músico (m),muzyk
música (f),muzyczka
profesor universitario (m),profesor
profesora universitaria (f),profesorka
presidente (m),prezydent
presidenta (f),prezydentka
ministro (m),minister
ministra (f),ministerka
lengua materna,język ojczysty
¿quién eres? / ¿quién es usted?,Kim jesteś? / Kim pan/pani jest?
¿de dónde eres?,Skąd jesteś?
hablar en … (idioma),mówić po …
conocer/saber (un idioma),znać
estudiar/aprender (idioma),uczyć się
