esperar ., czekać
esperar un momento ., poczekać
leer ., czytać
leer completamente ., przeczytać
dar ., dawać
dar (una vez) ., dać
recibir ., dostawać
recibir (una vez) ., dostać
agradecer ., dziękować
dar las gracias ., podziękować
llamar ., dzwonić
llamar (una vez) ., zadzwonić
cocinar ., gotować
cocinar (terminar) ., ugotować
ir (a pie) ., iść
ir (una vez) ., pójść
viajar (en vehículo) ., jechać
irse / partir ., pojechać
comer ., jeść
comerse todo ., zjeść
terminar / acabar ., kończyć
terminar completamente ., skończyć
comprar ., kupować
comprar (una vez) ., kupić
gustar ., lubić
empezar a gustar ., polubić
lavar ., myć
lavar (una vez) ., umyć
visitar ., odwiedzać
visitar (una vez) ., odwiedzić
abrir ., otwierać
abrir (una vez) ., otworzyć
recordar ., pamiętać
memorizar ., zapamiętać
beber ., pić
beber completamente ., wypić
escribir ., pisać
escribir (terminar) ., napisać
pagar ., płacić
pagar (una vez) ., zapłacić
gustar (a alguien) ., podobać się
empezar a gustar ., spodobać się
ayudar ., pomagać
ayudar (una vez) ., pomóc
repetir ., powtarzać
repetir (una vez) ., powtórzyć
pedir ., prosić
pedir (una vez) ., poprosić
disculparse ., przepraszać
pedir perdón ., przeprosić
preguntar ., pytać
preguntar (una vez) ., spytać
hacer ., robić
hacer (una vez) ., zrobić
entender ., rozumieć
comprender ., zrozumieć
encontrarse ., spotykać się
encontrarse (una vez) ., spotkać się
buscar ., szukać
buscar un rato ., poszukać
aprender ., uczyć się
aprender completamente ., nauczyć się
quedar / citarse ., umawiać się
concertar una cita ., umówić się
volver ., wracać
regresar ., wrócić
empezar ., zaczynać
comenzar (una vez) ., zacząć
pedir / encargar ., zamawiać
hacer un pedido ., zamówić
cerrar ., zamykać
cerrar (una vez) ., zamknąć
invitar ., zapraszać
invitar (una vez) ., zaprosić
visitar (turísticamente) ., zwiedzać
visitar completamente ., zwiedzić
quedarse ., zostawać
permanecer ., zostać
